Venta_ID,Fecha,Pais,Ciudad,Canal_Venta,Categoria,Ventas,Costo,Utilidad,Margen_Utilidad,Segmento,Satisfaccion
1,2025-01-01,Peru,Lima,Ecommerce,Hogar,639622,367183,272439,0.43,Corporativo,5
2,2025-01-01,Colombia,Lima,App Movil,Oficina,534416,394050,140366,0.26,Premium,1
3,2025-01-01,Peru,Santiago,Ecommerce,Oficina,190679,121818,68861,0.36,Corporativo,5
4,2025-01-01,Peru,Bogota,App Movil,Tecnologia,1197056,698926,498130,0.42,Premium,5
5,2025-01-01,Mexico,Cartagena,App Movil,Tecnologia,1644684,755341,889343,0.54,Basico,4
6,2025-01-01,Chile,Bogota,Ecommerce,Hogar,3045641,1902500,1143141,0.38,Corporativo,3
7,2025-01-01,Colombia,Lima,App Movil,Oficina,4516539,2591341,1925198,0.43,Basico,1
8,2025-01-01,Mexico,Santiago,App Movil,Hogar,2417023,1154139,1262884,0.52,Corporativo,4
9,2025-01-01,Chile,Lima,Tienda Fisica,Tecnologia,2883634,1554044,1329590,0.46,Basico,1
10,2025-01-01,Peru,Cartagena,Ecommerce,Tecnologia,4266670,2089348,2177322,0.51,Premium,5
11,2025-01-01,Mexico,Lima,App Movil,Hogar,4016389,2744889,1271500,0.32,Corporativo,5
12,2025-01-01,Mexico,Bogota,Ecommerce,Oficina,4876069,4129575,746494,0.15,Basico,5
13,2025-01-01,Peru,Santiago,Ecommerce,Oficina,4274605,2920808,1353797,0.32,Corporativo,1
14,2025-01-01,Chile,Cartagena,App Movil,Tecnologia,1072939,876523,196416,0.18,Basico,1
15,2025-01-01,Colombia,Lima,Ecommerce,Hogar,4505576,3493516,1012060,0.22,Premium,5
16,2025-01-01,Colombia,Bogota,Ecommerce,Tecnologia,1187250,556507,630743,0.53,Corporativo,5
17,2025-01-01,Chile,Cartagena,Ecommerce,Hogar,3324422,1730343,1594079,0.48,Premium,3
18,2025-01-01,Chile,Lima,Tienda Fisica,Tecnologia,3845492,2920646,924846,0.24,Corporativo,1
19,2025-01-01,Mexico,Lima,App Movil,Tecnologia,819617,508672,310945,0.38,Basico,4
20,2025-01-01,Mexico,Cartagena,Tienda Fisica,Oficina,3899576,2677247,1222329,0.31,Premium,1
21,2025-01-01,Chile,Cartagena,App Movil,Oficina,496288,366141,130147,0.26,Premium,3
22,2025-01-01,Peru,Lima,Ecommerce,Tecnologia,1779469,885867,893602,0.5,Basico,1
23,2025-01-01,Peru,Lima,Tienda Fisica,Oficina,4474685,3697695,776990,0.17,Premium,2
24,2025-01-01,Colombia,Cartagena,App Movil,Oficina,3432990,2861995,570995,0.17,Corporativo,1
25,2025-01-01,Mexico,Bogota,Ecommerce,Oficina,2822889,1382386,1440503,0.51,Corporativo,5
26,2025-01-01,Peru,Lima,Tienda Fisica,Oficina,3712808,2110136,1602672,0.43,Corporativo,2
27,2025-01-01,Peru,Bogota,Tienda Fisica,Oficina,1226379,1001651,224728,0.18,Corporativo,1
28,2025-01-01,Chile,Bogota,App Movil,Oficina,2433590,1295850,1137740,0.47,Basico,3
29,2025-01-01,Colombia,Bogota,Ecommerce,Hogar,3902229,2115434,1786795,0.46,Corporativo,3
30,2025-01-01,Chile,Cartagena,Ecommerce,Tecnologia,658501,393466,265035,0.4,Premium,5
31,2025-01-01,Colombia,Santiago,App Movil,Oficina,3952763,2125114,1827649,0.46,Premium,2
32,2025-01-01,Chile,Bogota,Tienda Fisica,Hogar,2468549,1515442,953107,0.39,Premium,1
33,2025-01-01,Chile,Santiago,Ecommerce,Hogar,1332762,1104153,228609,0.17,Premium,2
34,2025-01-01,Mexico,Lima,App Movil,Tecnologia,1088278,809980,278298,0.26,Corporativo,4
35,2025-01-01,Mexico,Lima,Tienda Fisica,Tecnologia,4666702,2194685,2472017,0.53,Premium,1
36,2025-01-01,Mexico,Bogota,Ecommerce,Oficina,3829017,2309448,1519569,0.4,Premium,1
37,2025-01-01,Chile,Lima,Ecommerce,Hogar,4906736,3387221,1519515,0.31,Corporativo,4
38,2025-01-01,Mexico,Bogota,Tienda Fisica,Tecnologia,3541902,2539596,1002306,0.28,Basico,3
39,2025-01-01,Chile,Santiago,Tienda Fisica,Hogar,710680,592233,118447,0.17,Corporativo,1
40,2025-01-01,Mexico,Santiago,App Movil,Hogar,1349708,663410,686298,0.51,Corporativo,4
41,2025-01-01,Mexico,Lima,App Movil,Hogar,2991356,1545419,1445937,0.48,Corporativo,5
42,2025-01-01,Peru,Bogota,Tienda Fisica,Oficina,4749598,2753299,1996299,0.42,Corporativo,2
43,2025-01-01,Chile,Santiago,Tienda Fisica,Hogar,4105648,2213334,1892314,0.46,Corporativo,3
44,2025-01-01,Mexico,Bogota,Ecommerce,Tecnologia,693375,464395,228980,0.33,Basico,3
45,2025-01-01,Colombia,Cartagena,Tienda Fisica,Hogar,1420610,748808,671802,0.47,Premium,4
46,2025-01-01,Colombia,Santiago,App Movil,Hogar,1670133,1105956,564177,0.34,Basico,1
47,2025-01-01,Chile,Santiago,App Movil,Hogar,1831568,1507433,324135,0.18,Premium,2
48,2025-01-01,Colombia,Santiago,Tienda Fisica,Oficina,4827427,2319213,2508214,0.52,Basico,5
49,2025-01-01,Chile,Cartagena,App Movil,Tecnologia,3926994,2530183,1396811,0.36,Basico,2
50,2025-01-01,Peru,Lima,Tienda Fisica,Hogar,3647761,1915370,1732391,0.47,Basico,5
51,2025-01-01,Chile,Lima,Ecommerce,Tecnologia,366077,286445,79632,0.22,Basico,3
52,2025-01-01,Peru,Santiago,App Movil,Tecnologia,3194816,2133131,1061685,0.33,Basico,3
53,2025-01-01,Mexico,Lima,Ecommerce,Tecnologia,4048694,1920637,2128057,0.53,Corporativo,4
54,2025-01-01,Colombia,Santiago,Ecommerce,Oficina,3169921,1942484,1227437,0.39,Basico,1
55,2025-01-01,Mexico,Cartagena,Tienda Fisica,Tecnologia,2154022,1049997,1104025,0.51,Premium,1
56,2025-01-01,Mexico,Lima,Ecommerce,Oficina,571628,383165,188463,0.33,Basico,3
57,2025-01-01,Chile,Bogota,App Movil,Oficina,114120,70308,43812,0.38,Corporativo,5
58,2025-01-01,Chile,Bogota,Tienda Fisica,Oficina,3616603,1807438,1809165,0.5,Corporativo,4
59,2025-01-01,Colombia,Cartagena,App Movil,Oficina,4518763,2831735,1687028,0.37,Corporativo,4
60,2025-01-01,Colombia,Cartagena,App Movil,Hogar,4608361,3717653,890708,0.19,Corporativo,2
61,2025-01-01,Colombia,Lima,Tienda Fisica,Hogar,3006100,1766565,1239535,0.41,Basico,4
62,2025-01-01,Peru,Lima,Tienda Fisica,Hogar,232639,190372,42267,0.18,Corporativo,2
63,2025-01-01,Mexico,Cartagena,Tienda Fisica,Hogar,3678001,2283929,1394072,0.38,Premium,5
64,2025-01-01,Colombia,Santiago,Ecommerce,Oficina,3430721,2448480,982241,0.29,Premium,2
65,2025-01-01,Peru,Cartagena,Tienda Fisica,Oficina,2932394,1436464,1495930,0.51,Premium,4
66,2025-01-01,Mexico,Cartagena,App Movil,Hogar,556314,263911,292403,0.53,Basico,1
67,2025-01-01,Peru,Cartagena,Ecommerce,Tecnologia,4046254,3077391,968863,0.24,Corporativo,5
68,2025-01-01,Chile,Cartagena,Tienda Fisica,Oficina,2166451,1455468,710983,0.33,Premium,2
69,2025-01-01,Chile,Lima,Tienda Fisica,Hogar,762812,527165,235647,0.31,Premium,3
70,2025-01-01,Mexico,Bogota,Tienda Fisica,Tecnologia,445856,360235,85621,0.19,Corporativo,5
71,2025-01-01,Colombia,Santiago,Ecommerce,Oficina,2598499,1683655,914844,0.35,Premium,4
72,2025-01-01,Peru,Bogota,Tienda Fisica,Hogar,158489,110544,47945,0.3,Premium,4
73,2025-01-01,Chile,Cartagena,Tienda Fisica,Hogar,4522304,2230022,2292282,0.51,Basico,2
74,2025-01-01,Colombia,Cartagena,Tienda Fisica,Tecnologia,4797078,3115414,1681664,0.35,Basico,4
75,2025-01-01,Mexico,Cartagena,Ecommerce,Hogar,4763703,3616414,1147289,0.24,Basico,1
76,2025-01-01,Chile,Lima,App Movil,Tecnologia,744600,502504,242096,0.33,Basico,5
77,2025-01-01,Mexico,Lima,Tienda Fisica,Hogar,2183891,1364774,819117,0.38,Premium,4
78,2025-01-01,Chile,Bogota,App Movil,Tecnologia,3817389,1800222,2017167,0.53,Basico,1
79,2025-01-01,Peru,Bogota,Ecommerce,Oficina,1526003,1063980,462023,0.3,Basico,2
80,2025-01-01,Peru,Bogota,Tienda Fisica,Oficina,2341955,1572007,769948,0.33,Corporativo,5
81,2025-01-01,Chile,Cartagena,App Movil,Tecnologia,1237928,936577,301351,0.24,Basico,2
82,2025-01-01,Chile,Lima,Tienda Fisica,Tecnologia,3999356,2537312,1462044,0.37,Corporativo,3
83,2025-01-01,Mexico,Cartagena,App Movil,Hogar,4318129,3363622,954507,0.22,Corporativo,4
84,2025-01-01,Mexico,Lima,Ecommerce,Oficina,1644178,970900,673278,0.41,Premium,2
85,2025-01-01,Colombia,Santiago,Tienda Fisica,Hogar,426543,333780,92763,0.22,Premium,3
86,2025-01-01,Peru,Santiago,Ecommerce,Tecnologia,4341917,2343374,1998543,0.46,Basico,5
87,2025-01-01,Chile,Lima,Tienda Fisica,Hogar,425393,274748,150645,0.35,Basico,3
88,2025-01-01,Colombia,Bogota,Ecommerce,Hogar,1480518,1257064,223454,0.15,Corporativo,5
89,2025-01-01,Chile,Santiago,Tienda Fisica,Hogar,4327640,3020437,1307203,0.3,Premium,3
90,2025-01-01,Peru,Santiago,Ecommerce,Hogar,1683716,1223567,460149,0.27,Corporativo,3
91,2025-01-01,Mexico,Santiago,Tienda Fisica,Hogar,2756024,2007025,748999,0.27,Premium,4
92,2025-01-01,Chile,Bogota,Ecommerce,Tecnologia,3512886,2270461,1242425,0.35,Corporativo,2
93,2025-01-01,Mexico,Santiago,Tienda Fisica,Tecnologia,4312297,3523584,788713,0.18,Basico,1
94,2025-01-01,Mexico,Bogota,App Movil,Oficina,3651879,1917410,1734469,0.47,Basico,3
95,2025-01-01,Mexico,Santiago,Tienda Fisica,Hogar,4567817,3062168,1505649,0.33,Premium,1
96,2025-01-01,Mexico,Bogota,Ecommerce,Tecnologia,4333870,2178487,2155383,0.5,Corporativo,3
97,2025-01-01,Mexico,Cartagena,Ecommerce,Oficina,443280,306621,136659,0.31,Corporativo,3
98,2025-01-01,Mexico,Cartagena,Ecommerce,Hogar,4110204,2331249,1778955,0.43,Corporativo,4
99,2025-01-01,Mexico,Bogota,App Movil,Hogar,3402900,1846445,1556455,0.46,Corporativo,1
100,2025-01-01,Peru,Lima,App Movil,Tecnologia,4120487,3230075,890412,0.22,Basico,1
101,2025-01-01,Chile,Lima,App Movil,Hogar,2441423,1536798,904625,0.37,Premium,3
102,2025-01-01,Chile,Lima,Tienda Fisica,Oficina,2546814,1802152,744662,0.29,Corporativo,3
103,2025-01-01,Colombia,Lima,Ecommerce,Tecnologia,1689913,886151,803762,0.48,Corporativo,3
